Product Name,Code,Batch No,"MFI (gm/10min)
(min)","MFI (gm/10min)
(max)","Density
(gm/cc)
(min)","Density
(gm/cc)
(max)","Ash Content
(%)
(min)","Ash Content
(%)
(max)","Moisture
(%)","TS @ yield(MPa)
(min)","TS @ yield(MPa)
(max)","El@yl ( % )
(min)","El@yl ( % )
(max)","Flexural Modulus(MPa)
(min)","Flexural MS(MPa)
(max)","Flexural Strength @ PL(MPa)
(min)","FS @ PL(MPa)
(max)",Izod imp(J/m)(min),"500
(min)","500
(max)",Izod imp(J/m)(max),Flammability @3.2 mm (Rating),"Flammability
(thickness (mm))","HDT 
(Min) ( °C )","HDT
(max) (°C)",Glow Wire Test @ 3.2mm (°C),"Glow Wire Test
thickness (mm)","El@Brk ( % )
(min)","El@Brk ( % )
(max)",Remark,Rev. No.,COLOR,"Mould Shrinkage, Linear(%)",Water Absorption(%),"Un-Notched Izod Impact Strength @ 23°C, 3.2 mm		","Melting Point(°C)
(min)","Un-annealed, HDT @ 0.455 MPa	",Vicat Softening Point,Coefficient of Linear Thermal Expansion                ,Comparative Tracking Index,Dielectric Strength(KV/mm),Dielectric Constant(Unit Less),Volume Resistivity (Ohm.cm),Surface Resistivity(Ohm),Drying Temperature Dehumidified dryer(°C),Drying Time(Hrs),Rear Temperature(°C),Middle Temperature(°C),Front Temperature,Nozzle Temperature(°C),Mold Temperature(°C),MFI TEST CONDITION,"Mould Shrinkage, transverse","Tensile Strength at Yield, TEST CONDITION","Tensile Modulus, TEST CONDITION",Elongation at Yield TEST CONDITION,Flexural Strength TEST CONDITION,Flammability @0.8,Flammability @1.6,GWT @0.8,GWT @1.6,L (min),a (min),b (min),Issue Date,L (max),a (max),b (max),,ROHS,REACH,Halogen Free,Long Cut,Color Variation (Black Spot Free),Finish (Shine/Dull),Recycle Content Type (PIR/PCR),PIR %tage,PCR %tage,Yellow Card,Phosphorus Free,Persistent organic pollutants (POP),Aesthetic function,Railway fire smoke requirements (EN45545),Friction resistance,"Fatigue resistance  {ISO 13003 (flexure fatigue),ISO 15850 (delamination)}",Ozone resistance,Chemical resistance ,Laser printing,Pad printing,Labelling ,"Welding Precise mode (laser, ultrasonic, ..)",Delta E,Transmittance,GWT or UL Seconds
CiLON™ 20% GF FR PA6 Grey,710C2081F1,,20,40,1.32,1.36,18,22,0.2,80,100,5,9,"2,500.00","3,500.00",120,140,35,,,,V2,3.2,160,170,960,3.2,,-,-,Rev. No. 00,RAL 7035 Grey,0.7,1,-,220 ± 2,,,-,>475,-,-,1.00E+13,1.00E+14,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V2,V2,960,960,,,,24/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 20% GF FR PA6 Cool Grey,710C2081F2,,20,40,1.32,1.36,18,22,0.2,80,100,5,9,"2,500.00","3,500.00",120,140,35,,,,V2,3.2,160,170,960,3.2,,,,Rev. No. 00,Grey,0.7,1,-,220 ± 2,195,,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 -280,60 - 90,275°C/2.16kg,-,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 20% MF FR PA6 Grey,710C2382F3,,15,25,1.31,1.35,18,22,0.15,65,85,4,8,"5,000.00","6,000.00",120,140,30,,,,V2,3.2,125,135,960,3.2,-,-,-,Rev. No. 02,Grey,0.9,1,-,220 ± 2,,,-,600,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 -280,60 - 90,275°C/2.16kg,-,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,960,,80.1,-0.56,1.15,,80.3,-0.96,1.6,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 20% MF + 5%GF FR PA6 White,710C2395F,,25,45,1.34,1.38,23,27,0.15,70,80,2,8,"3,200.00","3,600.00",100,120,30,,,,V2,3.2,150,160,960,3.2,-,-,-,Rev. No. 00,White,0.7,1,-,220 ± 2,195,-,-,600,20,-,1.00E+14,1.00E+12,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,V2,960,960,94.21,-0.84,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 25% MF FR PA6 Grey,710C2281F,,20,40,1.34,1.38,23,27,0.2,55,75,4,8,"3,000.00","5,000.00",100,120,30,,,,V2,3.2,135,145,,,,,,Rev. No. 01,Grey,1,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,20/6/2023,78.62,-1.34,3.4,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 20%MF+5%GF FR PA6 Grey,710C2381F,,25,35,1.34,1.38,23,27,0.15,65,75,6,8,"3,000.00","3,400.00",105,125,40,,,,,,135,145,,,,,,Rev. No. 00,Grey,,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 20% MF+5% GF FR PA6 Grey,710C2381FF,,20,,1.34,1.38,23,27,0.15,65,75,6,8,"2,800.00","3,600.00",105,125,45,,,,V2,3.2,155,165,,,,,,Rev. No. 00,Grey,0.7,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 25% MF FR PA6 Grey,710C2382F,,30,40,1.34,1.38,23,27,0.15,65,85,5,9,"2,800.00","3,200.00",100,120,40,,,,,,135,145,,,,,,Rev. No. 00,Grey,,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 25% MF FR PA6 Grey,710C2382F1,,20,40,1.34,1.38,23,27,0.15,65,75,5,9,"2,500.00","3,500.00",90,110,30,,,,V2,3.2,130,140,960,3.2,,,,Rev. No. 01,Grey,< 0.70,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg,-,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,960,,,,,Aug-21,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 25% MF FR PA6 Grey,710C2383F,,20,40,1.34,1.38,23,27,0.2,75,85,4,8,"3,200.00","3,600.00",120,140,40,,,,V2,3.2,135,145,960,3.2,,,,Rev. No. 00,Grey,,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 20% MF+5% GF FR PA6 Grey,710C2383FF,,20,30,1.34,1.38,23,27,0.15,70,80,5,8,"3,000.00","4,000.00",100,120,30,,,,V2,3.2,150,160,960,3.2,,,,Rev. No. 01,Grey,0.7,1,-,220 ± 2,195,-,-,600,20,-,1.00E+14,1.00E+12,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,V2,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 25% MF FR PA6 Grey,710C2384F,,25,35,1.34,1.38,23,27,0.15,75,85,4,8,"3,200.00","3,600.00",120,140,45,,,,V2,3.2,155,165,,,,,,Rev. No. 00,Grey,,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 25% MF FR PA6 Grey,710C2385F,,25,35,1.34,1.38,23,27,0.15,75,85,4,8,"3,200.00","3,600.00",120,140,45,,,,V2,3.2,155,165,,,,,,Rev. No. 00,Grey,,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 25% MF FR PA6 New Vihan Grey,710C2386F(N),,30,40,1.34,1.38,23,27,0.15,65,75,4,8,"2,700.00","3,300.00",110,125,40,,,,V2,3.2,135,145,,,,,,Rev. No. 00,Vihan Grey,0.8,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 25% MF FR PA6 White,710C2391F,,20,,1.34,1.38,23,27,0.15,75,85,4,8,"3,200.00","3,600.00",120,140,40,,,,V2,3.2,155,165,,,,,,Rev. No. 00,White,,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 25% MF FR PA6 White,710C2392F,,30,40,1.34,1.38,23,27,0.15,70,80,4,8,"3,300.00","3,700.00",120,140,40,,,,V2,3.2,155,165,,,,,,Rev. No. 00,White,,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 25% MF FR PA6 White,710C2393F,,20,,1.34,1.38,23,27,0.15,70,80,4,8,"3,000.00","4,000.00",110,130,40,,,,V2,3.2,155,165,,,,,,Rev. No. 00,White,,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 25% MF FR PA6 Syska White,710C2394F,,30,40,1.34,1.38,23,27,0.15,65,75,4,8,"2,700.00","3,300.00",105,125,40,,,,V2,3.2,135,145,,,,,,Rev. No. 00,White,,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ PA6 30% GF Pre colored Black,710C3001,,10,40,1.31,1.35,28,32,0.15,110,130,4,8,"4,500.00","5,500.00",180,220,100,,, , -,3.2,200,210, -, -, -, -, ,Rev. No. 01,Black,0.3,1, -,220 ± 2, -, -, -, -, -, -, -, -,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 30% GF PA6 Ebony Black,710C3001E,,50,60,1.34,1.38,28,32,0.2,125,145,6,10,"4,000.00","6,000.00",165,205,65,,,,-,3.2,200,210,,,,,,Rev. No. 02,Black,0.3,1,-,220 ± 2,215 ± 5,200 ± 5,7.00E-05,-,> 20,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,Long Cut free,Black spot free,shine,PIR + PCR,20,60,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 Black,710C3001E2,,25,35,1.31,1.35,28,32,0.15,150,170,6,10,"4,300.00","5,300.00",235,265,150,,,,,3.2,195,205,,,,,,Rev. No. 00,Black,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 30% GF PA6 Satin Black,710C3001S,,10,20,1.32,1.36,28,32,0.15,145,165,6,10,"4,500.00","5,500.00",235,265,100,,,,HB,3.2,200,210,,,,,,Rev. No. 00,Satin Black,0.3,1,,220 ± 2,215,-,-,600,40,2.5,1.00E+13,1.00E+12,80 - 120,4-Feb,225 - 235,235 - 245,250 - 260,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,Long Cut Free ,Black spot free,Shine,,,,,,,,,,,,,,,,,,,
CiLON™ PA6 30% GF PA6 Black,710C3002,,30,50,1.32,1.36,28,32,0.2,150,165,6,10,"4,500.00","5,500.00",235,265,100,,,,HB,3.2,200,210,,,,,,Rev. No. 00,Black,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 35% GF PA6 Black,710C3003,,10,20,1.36,1.4,33,37,0.15,150,190,7,9,"7,000.00","11,000.00",240,270,150,,,,-,3.2,200,210,,,,,,Rev. No. 01,Black,0.3,1,,220 ± 2,,,,,-,-,-,-,80 - 100,4-Feb,225 - 235,235 - 245,250 - 260,260 - 280,60 - 80,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/4/2022,,,,,,,,Long Cut Free ,Black spot free,Shine,,,,,,,,,,,,,,,,,,,
CiLON™ 30% GF PA6 UV Stabilized Black,710C3003UV,,15,25,1.32,1.36,28,32,0.2,140,160,6,10,"4,500.00","5,500.00",250,270,150,,,,-,3.2,200,210,,,,,,Rev. No. 02,Black,0.3,1,,220 ± 2,,,,,,,-,-,80 - 100,4-Feb,225 - 235,235 - 245,250 - 260,260 - 280,60 - 80,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2022,,,,,,,,Long Cut Free ,Black spot free,Shine,,,,,,,,,,,,,,,,,,,
CiLON™ 30 % GF PA 6 Beige,710C3011,,20,40,1.28,1.32,28,32,0.15,110,130,5,9,"4,200.00","4,800.00",190,210,100,,,,,3.2,195,205,,,,,,Rev. No. 00,Beige,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 Beige,710C3012,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Beige,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 35% GF PA6 Beige,710C3013,,10,20,1.36,1.4,33,37,0.15,150,190,6,10,"5,500.00","6,500.00",250,290,150,,,,,3.2,200,210,,,,,,Rev. No. 01,Beige,0.3,1,-,220 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,225 - 235,235 - 245,250 - 260,260 - 280,80 - 100,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,2.08,,,,2.28,,,,,,Long Cut Free,Black Spot Free,Shine,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 Brown,710C3014,,20,,1.33,1.37,28,32,0.15,130,150,5,9,"4,000.00","5,000.00",195,225,100,,,,,3.2,200,210,,,,,,Rev. No. 00,Brown,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30 % GF PA6 Pink,710C3021,,20,40,1.38,1.42,28,32,0.15,120,150,7,9,"4,400.00","4,800.00",190,220,80,,,,HB,3.2,195,205,,,,,,Rev. No. 00,Pink,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,5/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 Red,710C3022,,30,40,1.31,1.35,28,32,0.15,105,135,5,9,"4,500.00","5,500.00",185,215,100,,,,,3.2,200,210,,,,,,Rev. No. 00,Red,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 Red,710C3024,,10,30,1.32,1.36,28,32,0.2,130,150,6,10,"5,000.00","9,000.00",200,240,80,,,,HB ,3.2,195,205,,,,,,Rev. No. 01,Red,0.4,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.4,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,39.39,35.27,16.62,7/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 RAL 3026 Red,710C3025,,20,40,1.33,1.37,28,32,0.15,140,160,6,10,"4,500.00","5,500.00",235,265,100,,,,,3.2,200,210,,,,,,Rev. No. 00,Red,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 RAL 2009 Orange,710C3026,,20,,1.33,1.37,28,32,0.15,130,150,6,10,"4,200.00","5,200.00",190,230,80,,,,,3.2,200,210,,,,,,Rev. No. 00,Orange,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA 6 Natural,710C3031,,10,15,1.32,1.36,28,32,0.2,150,190,6,10,"7,500.00","9,000.00",250,300,170,,,,,3.2,200,210,,,,,,Rev. No. 03,Natural,0.3,1,-,220 ± 2,215,-,,600,40,2.5,1.00E+13,1.00E+12,80 - 100,4-Feb,230 - 240,240 - 250,250 - 260,260 - 280,60 - 80,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,69.85,-3.04,-4.94,10/10/2021,70.25,-2.84,-4.74,,,,,Long Cut Free,Black Spot Free,Shine,,,,,,,,,,,,,,,,,,,
"CiLON™ 30% GF PA6 High Flow, Heat Stabilized Natural",710C3031HFHS,,63,69,1.34,1.38,28,32,0.15,160,190,4,7,"6,000.00","8,000.00",260,290,140,,,,-,3.2,200,210,,,,,,Rev. No. 01,Natural,0.3,1,,220 ± 2,215,-,-,,,,,,80 - 100,4-Feb,230 - 240,240 - 250,250 - 260,260 - 280,60 - 80,275°C/5kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,73.1,-3.79,0,9/2/2022,,,,,,,,Long Cut Free,Black Spot Free,Shine,,,,,,,,,,,,,,,,,,,
"CiLON™ 30% GF PA6 High Flow, Heat Stabilized Black",710C3001HFHS,,65,72,1.34,1.38,28,32,0.2,160,180,4,7,"6,000.00","8,000.00",255,285,130,,,,,3.2,200,210,,,,,,Rev. No. 00,Black,0.3,1,,220 ± 2,215, -, -, ,,,,,80 - 100,4-Feb,230 - 240,240 - 250,250 - 260,260 - 280,60 - 80,275°C/5kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,20/6/2022,,,,,,,,Long Cut Free,Black Spot Free,Shine,,,,,,,,,,,,,,,,,,,
CiLON™ 30% GF PA6 High Flow Natural,710C3031HF,,55,61,1.34,1.38,28,32,0.15,170,190,4,7,,,260,290,140,,,,,3.2,200,210,,,,,,Rev. No. 01,Natural,0.3,1,-,220 ± 2,215,-,-,,,,,,80 - 100,4-Feb,230 - 240,240 - 250,250 - 260,260 - 280,60 - 80,275°C/5kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,9/2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 30% GF PA6 Heat Stabilized Natural,710C3031HS,,20,30,1.34,1.38,28,32,0.15,170,190,4.5,7.5,,,260,290,170,,,,,3.2,200,210,,,,,,Rev. No. 01,Natural,0.3,1,-,220 ± 2,215,-,-,,,,,,80 - 100,4-Feb,230 - 240,240 - 250,250 - 260,260 - 280,60 - 80,275°C/5kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,9/2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CiLON™ 30 % GF FR PA 6 Natural, Halogenated",710C3031F,,20,40,1.38,1.42,30,34,0.15,140,160,5,9,"5,200.00","5,800.00",240,260,150,,,,V0,3.2,200,210,960,3.2,,,,Rev. No. 01,Natural,0.3,1,-,220 ± 2,,-,-,,,,,,80 - 100,4-Feb,220 - 23,240 - 250,245 - 255,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,V0,,960,,,,,,,,,,,,Long Cut Free,Black Spot Free,Shine,,,,,,,,,,,,,,,,,,,3
CiLON™ 35% GF PA6 Natural,710C3032,,10,20,1.37,1.41,33,37,0.15,160,200,6,10,"5,000.00","6,000.00",270,310,200,,,,,3.2,200,210,,,,,,Rev. No. 00,Natural,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 30% GF PA6 Natural,710C3033,,20,,1.32,1.36,28,32,0.2,100,140,6,10,"4,000.00","5,000.00",190,230,100,,,,,3.2,195,205,,,,,,Rev. No. 00,Natural,0.3,1,,220 ± 2,,,-,-,,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,245 - 255,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,72.33,-4.38,-3.37,20/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 30% GF PA6Green,710C3051,,10,30,1.32,1.36,28,32,0.2,130,150,6,10,"5,000.00","9,000.00",200,240,80,,,,HB ,3.2,195,205,,,,,,Rev. No. 01,Green,0.4,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.4,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,53.19,-34.93,23.72,7/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 Light Green,710C3052,,20,,1.33,1.37,28,32,0.15,130,150,5,9,"4,500.00","5,500.00",195,225,100,,,,,3.2,200,210,,,,,,Rev. No. 00,Green,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 RAL 6038 Green,710C3053,,20,,1.33,1.37,28,32,0.15,120,140,6,10,"4,200.00","5,200.00",190,230,80,,,,,3.2,200,210,,,,,,Rev. No. 00,Green,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30%GF PA6 Blue,710C3061,,10,30,1.33,1.37,28,32,0.2,130,160,5,9,"4,500.00","6,500.00",190,210,60,,,, -,3.2,190,200, -,-,5,9,,Rev. No. 01,Blue,0.4,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.4,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,29/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 Blue,710C3062,,20,30,1.31,1.35,28,32,0.15,135,165,6,10,"4,400.00","4,800.00",185,215,100,,,,,3.2,195,205,,,,,,Rev. No. 00,Blue,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 Blue,710C3063,,20,40,1.33,1.37,28,32,0.15,130,150,5,9,"4,000.00","5,000.00",195,225,100,,,,,3.2,200,210,,,,,,Rev. No. 00,Blue,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF PA6 Dark Blue,710C3064,,20,,1.32,1.36,28,32,0.15,130,150,5,9,"4,500.00","5,500.00",210,230,100,,,,,3.2,200,210,,,,,,Rev. No. 00,Dark Blue,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
