,,,,,,,,
,,,,,,,,
,Action ID,Application,Component Name,Current Supplier Name,Current Supplier Grade,Current Supplier Datasheet,Product Grade,Product Description
,NSL223864,Automotive,AUTOMOTIVE,Calco,500C4031,,#N/A,#N/A
,NSL223861,Automotive,AUTOMOTIVE CAP,DOMO,TY A216 V30 NAT,,720C3031,CiLON™ 33% GF PA 66 Natural
,NSL223869,Automotive,AUTOMOTIVE,Radici/Ester,ESTORAMIDE,,711C1001A,CiLON™ 15% GF PA6 Black
,NSL223868,Automotive,AUTOMOTIVE SWITCHES,DSM/Lanxess/Envalior,ArniteTV4261,https://drive.google.com/open?id=1iz5iUpkO2kq4er-mDrhkr24w_TKWyD3d,730C3001,ZiLITE™ 30% GF PBT Black
,NSL223859,Electrical,LED housing,Calco,NA,,730C2095,#N/A
,NSL223855,Industrial,Textile bobbins,Calco,NA,,#N/A,#N/A
,NSL223845,Electrical,Electrical Parts,"Sabic, Coverstro ",N.A.,,#N/A,#N/A
,NSL223846,Electrical,Electrical Parts,"Sabic, Makrolon",Makrolon 6557 & Lexan 943.,,#N/A,#N/A
,NSL223850,Industrial,Power tools & Appliances,"Guzlon, PI",Pi-Lon/Eromide,,#N/A,#N/A
,NSL223844,Electrical,Electrical Parts,"Sabic, Covestro",Makrolon® 2407 & Lexan 123R,,#N/A,#N/A
,NSL223797,Electrical,Automation AC/DC,Calco,710C0031,,710C0031,CiLON™ Unfilled PA 6 Natural
,NSL223874,Industrial,Industrial Sheet,Bhanshali,na,,#N/A,#N/A
,NSL223873,Electrical,MCB Housing,DSM/Lanxess/Envalior,DSM K22KG4,,710C2383F4,CiLON™ 20% MF + 5% GF FR PA6 MCB RAL7035 Grey
,NSL223685,Electrical,Used in Switch sockets ,take material from Korea,NA,,750C0091,PiCAN™ UF PC White
,NSL223686,Electrical,Used In switch sockets ,take material from Korea ,NA,,731C3001,ZiLITE™ 30 % GF PBT Black
,NSL223876,Electrical, BLEDS ,UBE,NYLON 1013NW8,,710C0032,CiLON™ PA6 UNFILLED NATURAL
,NSL223881,Industrial,cover and gas tank,N/A,N/A,,710C0031HS,"CiLON™ UF PA6 Natural, Heat Stabilized"
,NSL223882,Electrical,Cabinet casing in IT,TER Plastics,TEREZ ® PC X 9005 GF 5 UV-1,https://drive.google.com/open?id=1uK1S9mhSkTIUL7_5rUJK6Uabw-7lOd8G,750C0083,#N/A
,NSL223880,Electrical,Knob,Calco,710C3081,,710C3081,CiLON™ 30 % GF PA 6 Grey
,NSL223883,Industrial,BOBBIN,Calco,NA,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL223884,Automotive,N/A,BASF,Ultramid A3WG7 natural,https://drive.google.com/open?id=1Y3r2IOVkm8tGw0pOc3zGAZ92xCZRa_3_,720C3032HSHD,"CiLON™ 35% GF PA66 Heat Stabilized, Hydrolysis Resistance Natural"
,NSL223885,Automotive,n/a,DSM/Lanxess/Envalior,Durethan AKV50H2.0,https://drive.google.com/open?id=1Sq2LjYl7ihw7cFvsx19BylE4z20V8pWV,720C5001HS,#N/A
,NSL223888,Industrial,GLANDS,Calco,NA,,711C0083,CiLON™ UF PA6 Metallic Grey
,NSL223811,Electrical,Electrical Swithc,Radici/Ester,PBT Unfiled black,,730C0001,"ZiLITE™ Unfilled PBT, Black"
,NSL223705,Automotive,Cable Tie,Dupont/Performance Speciality,21SPC,,721C0001T,#N/A
,NSL223886,Industrial,n/a,BASF,"Ultramid B3WG8 NATURAL (please note TDS is for black , but we need to offer natural)",https://drive.google.com/open?id=1c2Ygcr4lulxxKM6lZul_CHOGB1zajxhx,710C4031HS,#N/A
,NSL223887,Industrial,n/a,Taroplast,TAROMID B MF G12,https://drive.google.com/open?id=12--13b0Nn-iHbDZSb6sC2KUE2Hwe0dyR,710C6031,CiLON™ 60% GF PA6 Natural
,NSL223896,Electrical,Electrical Switches & Sockets,"Sabic, Loxim: Loxicarb PC 5140-12 UV3 01014, Lotte: EN-1052","Loxicarb PC 5140-12 UV3 01014, EN-1052, Lexan FR Resins 925U","https://drive.google.com/open?id=1PHoXKAoe1PCFRm_W45ZvnHIaS11XcjTq, https://drive.google.com/open?id=1wax43S1-99N66ci8VqM1z2QvAXH6Hz6h, https://drive.google.com/open?id=1E_SiWLqVdliCZCwd24sqTDkAwmd02B3N, https://drive.google.com/open?id=152HFcFqP3-IIQ5978kjuWR7qET6qFez-",#N/A,#N/A
,NSL223890,Automotive,Automotive,"DSM/Lanxess/Envalior, SGF50 BK",SGF50BK,,710C5001,CiLON™ 50% GF PA6 Black
,NSL223891,Automotive,Automotive Bezal,Calco,NEW SOP SUGGEST OUR GRADE,,740C5002,#N/A
,NSL223901,Automotive,Auto component,DSM/Lanxess/Envalior,DSM,,720C0031,CiLON™ UF PA66 Natural
,NSL223893,Automotive,Camera Mount,LG Chem,AN 450 M,,#N/A,#N/A
,NSL223892,Automotive,Buffle Part,Arnol,NA,,720C0001,CiLON™ UF PA66 Black
,NSL223877,Automotive,Upper and lower switch,Celanese/Next,na,,#N/A,#N/A
,NSL223902,Electrical,Axial Fan and Panel Fan,"Calco, PI",30% GF PBT Black,,730C3001A,#N/A
,NSL223678,Industrial,Water Tap,DSM/Lanxess/Envalior,B600 NATURAL,,#N/A,#N/A
,NSL223905,Electrical,Electrical Knob,DSM/Lanxess/Envalior,PBT GF,,730C3085F,ZiLITE™ 30% GF FR GM Grey PBT
,NSL223903,Electrical,PBT - Knob,DSM/Lanxess/Envalior,PBTGF30,,730C3083F,ZiLITE™ 30%GF FR PBT Light Grey
,NSL223904,Electrical,PBTGF30,DSM/Lanxess/Envalior,PBTGF,,730C3084F,"ZiLITE™ 30% GF FR PBT, Grey"
,NSL223903,Electrical,PBT - Knob,DSM/Lanxess/Envalior,PBTGF,,730C3083F,ZiLITE™ 30%GF FR PBT Light Grey
,NSL223891,Automotive,Bazzel,Calco,PLS SUGGEST NEW SOP,,740C5002,#N/A
,NSL223871,Industrial,Textile parts,Celanese/Next,PM 30-01BK,https://drive.google.com/open?id=1FoDSozCqeeKVcsxREbUAbw4XuQ9XQfiq,#N/A,#N/A
,NSL223738,Electrical,"Switchgear, SMC-DMC Components",Dupont/Performance Speciality,70G30HSLR BK099,,720C3004HS,CiLON™ 30% GF PA66 Black
,,Automotive,Molded Articles (Transplants),Calco,710C0001ST,,,#N/A
,DVR/1092,Automotive,Transplants on wheel of vehicle,Calco,710C0001ST,,#N/A,#N/A
,NSL223919,Industrial,n/a,Romira,ROMILOY®4010/07-1 UV,https://drive.google.com/open?id=1J4S1ibGbvSEZamH9DBdY1wGLI9KD4Nh4,Reject,#N/A
,NSL223917,Electrical,Electrical ,KING-FA,PBT RG301,"https://drive.google.com/open?id=1pDUhcq_D6gZg4EMk2mUhRH8cxkpiS5pm, https://drive.google.com/open?id=1d4E7MTd_rHUb7t0NWn-ZXhqXaRw1kQjv",730C3031F,ZiLITE™ 30% GF FR PBT Natural
,NSL223920,Appliance,coupler,Celanese/Next,na,,710C0031,CiLON™ Unfilled PA 6 Natural
,NSL223911,Electrical,Susion clamp,DSM/Lanxess/Envalior,PA6GF50 Black - 710C5001P,,710C5001P,#N/A
,NSL223906,Electrical,kNOB,DSM/Lanxess/Envalior,PBTGF30FR,,730C3083F,ZiLITE™ 30%GF FR PBT Light Grey
,NSL223907,Electrical,KNOB,DSM/Lanxess/Envalior,PBTGF30FR,,730C3085F,ZiLITE™ 30% GF FR GM Grey PBT
,NSL223908,Electrical,KNOB,DSM/Lanxess/Envalior,PBTGF30FR - TI GREY,,730C3087F,#N/A
,NSL223909,Electrical,KNOB,DSM/Lanxess/Envalior,PBTGF30 NATURAL,,730C3031,ZiLITE™ 30% GF PBT Natural
,NSL223922,Electrical,Electrical,Calco,NEW SOP,,710C3001N,CiLON™ 30% GF PA6 Black
,NSL223924,Automotive,Bazel,LOXIM,1420 02T 142 BD (DARK GREY),https://drive.google.com/open?id=1c64GaCsHdIJpfqIClFRug3BNhnJVqldX,740C2181,ZiLITE™ 20% MF PBT+PET Grey
,NSL223923,Automotive,Automotive,INABATA,INABATA,,#N/A,#N/A
,DVR/1092,Automotive,Runflat ,Calco,710C0001ST,,#N/A,#N/A
,NSL223933,Electrical,Fan wiring growmet,Reliance and adding FR additives ,NA,,#N/A,#N/A
,NSL223933,Electrical,ceiling fan mounting,reliance and adding FR additives,NA,,#N/A,#N/A
,NSL223932,Automotive,Automotive,APPL,PP MODIFIED ,,#N/A,#N/A
,NSL223932,Electrical,Connectors,Calco,SOP,,#N/A,#N/A
,NSL223931,Automotive,Automotive,APPL,PP MODIFIED,,#N/A,#N/A
,NSL223587,Electrical,Electrical,"DSM/Lanxess/Envalior, Ascend/Formulated","STARFLAM RF0057EGY8A554 PA6625%GFFR,7035",,720C2082F1L,#N/A
,NSL223940,Automotive,Rediator,"Dupont/Performance Speciality, Celanese/Next",Zytel 70G 30HSLR,,720C3004HSHD,"CiLON™ 30% GF PA66 Heat Stabilized, Hydrolysis Resistance Black"
,NSL223899,Electrical,ELECTRICAL COMPONENT,Radici/Ester,(XU4201 GY 41 DARK),,710C2081F2,CiLON™ 20% GF FR PA6 Cool Grey
,NSL223898,Electrical,ELECTRICAL,Radici/Ester,(XU430NN02 ORANGE),,710C3033F,#N/A
,NSL223900,Electrical,ELECTRICAL COMPONENT,Radici/Ester,NA,,710C2081F1,CiLON™ 20% GF FR PA6 Grey
,NSL223935,Electrical,DOOR HANDELE ,NA,NA,,711C1001A,CiLON™ 15% GF PA6 Black
,NSL223934,Electrical,DOOR HANDEL,NA,NA,,711C1001,CiLON™ 15 % GF PA 6 Black
,NSL223944,Automotive,UPPER LOWER CASE,DSM/Lanxess/Envalior,SGF30 BLACK,,710C3001N,CiLON™ 30% GF PA6 Black
,NSL223938,Automotive,Automotive,UBE,1013NW8,https://drive.google.com/open?id=1KYP7cs0gbGQEWXbLGkjfFSv_rQq-jwWn,710C0032,CiLON™ PA6 UNFILLED NATURAL
,OF/811,Electrical,mcb,NA,NA,,#N/A,#N/A
,OF/850,Electrical,MCB,KLJ ,PA6-07 25 GY-06,,#N/A,#N/A
,NSL223954,Electrical,E/E component,LG,LUPOY GN2201FM RAL 7035,https://drive.google.com/open?id=1AbyuusrcxSpKMQKZMVAE1AMl8A7oY-tO,750C2081F,#N/A
,NSL223955,Lighting,lighting component,Wanhua,Clarnate HL 6157,https://drive.google.com/open?id=1fHAdDP65mpSD7FBTlQzGeXqlznTZYZFY,750C003160M,PiCAN™ PC Diffuser 60M
,NSL223956,Electrical,"Electro components - sockets, switches etc",GrodnoAzot,Grodnamid PA6-L-211/311,https://drive.google.com/open?id=1uqGd492nfPAgwyEA4aUph9nQmyyNTax9,710C0092,#N/A
,NSL223957,Electrical,"Electro components - sockets, switches etc",GrodnoAzot,Grodnamid PA6-L-211/311,https://drive.google.com/open?id=1x-sQYO4TFPqeShIMED9hZ0cZDn_pyN8x,Reject,#N/A
,NSL223958,Electrical,"Electro components - sockets, switches etc",GrodnoAzot,Grodnamid PA6 FR (30) Grey,https://drive.google.com/open?id=1uXslRKUfBpNPuRbVT8FyLLnWvZ_t-7kL,710C0081FA,#N/A
,NSL223959,Electrical,"Electro components - sockets, switches etc",GrodnoAzot, Grodnamid PA6 FR (30) Grey.,https://drive.google.com/open?id=1NCvtzwmbRN__jFrd83Q5UHtYtx7IULAC,710C0081FA,#N/A
,NSL223927,Industrial,Nylon Cable Tie,Imported,NA.,,#N/A,#N/A
,NSL223968,Electrical,MCB Housing,KLJ,NA,,710C2383F4,CiLON™ 20% MF + 5% GF FR PA6 MCB RAL7035 Grey
,NSL223968,Electrical,MCB,KLJ,NA,,710C2383F4,CiLON™ 20% MF + 5% GF FR PA6 MCB RAL7035 Grey
,NSL223942,Electrical,Electrical parts,Sabic,na,,#N/A,#N/A
,NSL223941,Electrical,Hinge packing plate for deep freezer .,Calco,NA,,710C2032H,CiLON™ 20% GF PA6 Natural
,NSL223916,Automotive,auto parts,DSM/Lanxess/Envalior,B31SH2,,710C0001,CiLON™ Unfilled PA 6 Black
,NSL223918,Automotive,Inside door bracket .Part is subjected to load testing @10kgs,DSM/Lanxess/Envalior,SGF 25 BK,,720C2001,CiLON™ 25% GF PA66 Black
,NSL223915,Electrical,Electrical box cover,Sabic,923,,#N/A,#N/A
,NSL223972,Electrical,electrical parts ,na,na,,710C1031,CiLON™ 15 % GF PA 6 Natural
,NSL223971,Electrical,electrical parts,NA,NA,,#N/A,#N/A
,NSL223970,Industrial,"connectors, supports, mounting brackets for mounting profiles/rails, among others, solar panels.",Polimarky,Reslen PPC8 GF UV HI NT,https://drive.google.com/open?id=1mABvvJ_I9zLYMx77kexbNRt5UKwTlE7R,Reject,#N/A
,NSL223986,Electrical,MOTOR AC PART,NA,NA,,720C0001F,CiLON™ UF FR PA66 Reddish Black
,NSL223982,Electrical,MCB,KLJ,NA,,730C3381F,ZiLITE™ 30% GF + MF FR PBT Grey
,NSL223985,Electrical,AC MOTOR PART,NA,NA,,#N/A,#N/A
,NSL223983,NA,FRIDGE COMOPONENT,NA,NA,,500C3031,HiLENE™ 30% GF PP Natural
,NSL223981,Electrical,MCB,KLJ,NA,,710C2383F2,CiLON™ 20% MF + 5% GF FR PA6 Grey
,NSL223984,Industrial,WELDING GRIP,NA,NA,,710C4001,CiLON™ 40% GF PA6 Black
,NSL223970,Industrial,"connectors, supports, mounting brackets for mounting profiles/rails, among others, solar panels.",Polimarky,Reslen PPC8 GF UV HI NT,https://drive.google.com/open?id=1sg3h9Os42Qlhe-HAOlwv2bLrxr3h8QjK,Reject,#N/A
,NSL223987,Electrical,E&E component,Domo,TECHNYL STAR S 60X2 V30 BK 1N,https://drive.google.com/open?id=1uEFuMsljRXwJp6uFZhNmtk3a4o5zJwPB,710C3003F,CiLON™ 30% GF FR PA6 Black
,NSL223988,Industrial,Water Tap,"Calco, DSM/Lanxess/Envalior",730C0032/B-600,,730C0032,ZiLITE™ UF PBT Natural
,NSL223762,Automotive,AUTOMOTOIVE,NA,NA,,710C0031,CiLON™ Unfilled PA 6 Natural
,NSL223897,Electrical,ELECTRICAL COMPONENT,Radici/Ester,(XU4201GY-02 H GREY),,#N/A,#N/A
,NSL223990,Automotive,E connector ( New SOP TACO),Calco,NA,,#N/A,#N/A
,NSL223988,Industrial,Water Tap & Bath Fitting Accessories,"Calco, DSM/Lanxess/Envalior",730C0032/B-600,,730C0032,ZiLITE™ UF PBT Natural
,A,Electrical,METER BOX,NA,NA,,#N/A,#N/A
,NSL223991,Electrical,Meter Box,NA,NA,,730C3031F,ZiLITE™ 30% GF FR PBT Natural
,NSL223592,Electrical,SWITH GARE,SONGHAN PLASTIC TECHNOLOGY,STARFLAM RF0057EGY8A55,https://drive.google.com/open?id=1sskTQuFE4KcivgffdIauzqZZYqoW1oLo,720C2082F1,#N/A
,NSL223974,Electrical,Switchgare,Songhan Plastic Technology,STARFLAM AFR450X2,https://drive.google.com/open?id=15cPayyOrTCXXm2GhGnTM5J0OEHXjM-mn,Reject,#N/A
,NSL223976,Electrical,Switchgare,SIRMAX,SIRMAX DAFNEMID PA66 XFP05/T,https://drive.google.com/open?id=1QTWLq9UV15MEAmv30kecaqQ6-Zt9N6Y-,Reject,#N/A
,NSL223975,Electrical,SWITCHGARE,DSM/Lanxess/Envalior,AKULON K222KGV4 GREY,https://drive.google.com/open?id=1943dR1FFKIPEsBpaJqbFBpIF71ESVKzb,Reject,#N/A
,NSL224000,Electrical,Meter box,NA,NA,,730C3031,ZiLITE™ 30% GF PBT Natural
,NSL223967,Electrical,light connectors,"Calco, NA",NA,,730C3001F,ZiLITE™ 30% GF FR PBT Black
,NSL223992,Automotive,Automotive Switches,BREAKS INDIA,PA6 UF RED,,710C0022A,#N/A
,NSL223995,Automotive,SIDE MIRROR STAND,GSFC,GFN50H,,710C5001HF,#N/A
,NSL223994,Automotive,AC TRIM,Sabic,Volax 420,,730C3001A,#N/A
,NSL223993,Automotive,Automotive,DSM/Lanxess/Envalior,RGF 33 BK,,720C3001,CiLON™ 33 % GF PA 66 Black
,NSL223925,Automotive,AUTOMOTIVE,Sabic,Volax 420,,730C3001,ZiLITE™ 30% GF PBT Black
,NSL204001,Industrial,Cable spoon,Guzlon,NA,,#N/A,#N/A
,NSL224002,Electrical,Fuse disconnector,Lati,Lati Latamid 6H2G/20V2 Grey,https://drive.google.com/open?id=1gt8f8UXWk58gwe_KLfmmGHJbXW7u19eZ,710C2081F1,CiLON™ 20% GF FR PA6 Grey
,NSL224004,Automotive,FILLTER TUBE,DSM/Lanxess/Envalior,NA,,#N/A,#N/A
,NSL224003,Automotive,FILLTER PART,DSM/Lanxess/Envalior,NA,,#N/A,#N/A
,NSL224005,Automotive,FILLTER PART,Radici/Ester,NA,,710C3033,CiLON™ 30% GF PA6 Natural
,NSL224006,Industrial,Irrigation Pump Part,KLON,KPA630GE,,#N/A,#N/A
,NSL223950,Automotive,auto part,DSM/Lanxess/Envalior,Nylon 66gf33 black,,720C3001,CiLON™ 33 % GF PA 66 Black
,NSL223951,Automotive,Rearer view mirror,Brakes India,PA6GF50 Black,,#N/A,#N/A
,NSL224037,Electrical,MCB,NA,NA,,710C2383F4,CiLON™ 20% MF + 5% GF FR PA6 MCB RAL7035 Grey
,NSL223998,Industrial,Industrial parts,"Ravago, Guzlon",NCL10 M28RC(B),https://drive.google.com/open?id=15HosrCftvHVr_9mkgk80QvSCni49goEG,#N/A,#N/A
,NSL224042,Electrical,connector,NA,NA,,#N/A,#N/A
,NSL224001,Industrial,Spoon,Guzlon,E28RC,,#N/A,#N/A
,NSL224043,Automotive,"door handle, windows handle, box and windows accessories",  Dakhia  qualinyl A01 NC01 H  00027317   ,NA,https://drive.google.com/open?id=1gKtpcZqCDNw6wkvLa6PR9406hDvv5skQ,710C0031,CiLON™ Unfilled PA 6 Natural
,NSL224007,Automotive,Engine Parts,DSM/Lanxess/Envalior,BKV 30 H2.0,https://drive.google.com/open?id=1Pv4YNFwhUxDa6sqQKknHfgvW2lyXRUUx,Reject,#N/A
,NSL224044,Automotive,ENGINE PART,DSM/Lanxess/Envalior,POCAN B1204,https://drive.google.com/open?id=1HgrtLaIrcGO_qvfXhJFhlqiGJq2A2pNH,730C0001,"ZiLITE™ Unfilled PBT, Black"
,NSL224045,Appliance,Kitchen equipment ,Dhakia,na,https://drive.google.com/open?id=185DaUwyWR7nEMXVMmT1JUklv1U_cMiA5,720C0081,CiLON™ Unfilled PA66 Grey
,NSL224046,Appliance,Kitchen Appliances,Dhakia,na,https://drive.google.com/open?id=1hQE8IsagxKCKtFZe5lDuEU_9dPb7A78b,720C0001,CiLON™ UF PA66 Black
,NSL224047,Appliance,Kitchen Appliances,Dhakia,na,https://drive.google.com/open?id=1rKYc4eVJz7_1PH-LkKaHabaPHuJ2v-7z,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL224048,Automotive,DOOR HANDLE,DSM/Lanxess/Envalior,AKULON N224D,,710C3001E,CiLON™ 30% GF PA6 Ebony Black
,NSL224050,Electrical,mcb,DSM/Lanxess/Envalior,K222-KMV5-Light Grey,,730C2083F,#N/A
,NSL223623,Automotive,auto component,DSM/Lanxess/Envalior,PBTGF30 Natural,,730C3031,ZiLITE™ 30% GF PBT Natural
,NSL224053,Electrical,mcb,loxim 230-12-VO22A-Grey,loxim 230-12-VO22A-Grey,,730C3081F,ZiLITE™ 30% GF FR PBT Light Grey
,NSL224051,Electrical,MCB,DSM/Lanxess/Envalior,K22 KGV6S20620- DSM GREY,,710C3033F,#N/A
,NSL224052,Electrical,MCB KNOB,DSM/Lanxess/Envalior,K222DNA99001/77812 Natural,,730C2083F,#N/A
,NSL224056,Electrical,KNOB,Dupont/Performance Speciality,ZTTEL FR50 25% GF NATURAL,,720C2032F,#N/A
,NSL224054,Electrical,KNOB,Radici/Ester,ESTOPLAST EP4030GY99,,730C3091F1,#N/A
,NSL224055,Electrical,MCCB,Dupont/Performance Speciality,Lubricomp RFL36XXZ/GYMD NAT ,,720C3531,#N/A
,NSL224050,Electrical,MCB,DSM/Lanxess/Envalior,TUFBET PBT B GF20 FRO LIGHT GREY,,730C2083F,#N/A
,NSL224059,Automotive,gare,DSM/Lanxess/Envalior,RGF 33 NAT,,#N/A,#N/A
,NSL223875,Electrical,Deep down lighter,Next Polymer,PC owh white,,750C0091,PiCAN™ UF PC White
,NSL224076,Electrical,LED housing,NA,NA,,730C2091,ZiLITE™ 20% GF PBT CFL White
,NSL224078,Automotive,Gear,DSM/Lanxess/Envalior,RGF 33 natural,,720C3031,CiLON™ 33% GF PA 66 Natural
,NSL224034,Automotive,Radiator Tank (Top-Bottom),"DSM/Lanxess/Envalior, Dupont/Performance Speciality, Ascend/Formulated, Radici/Ester",N.A.,,721C3002HS,#N/A
,NSL224067,Industrial,"Spindel, Mohara","Calco, DSM/Lanxess/Envalior",710C1031,,710C1031,CiLON™ 15 % GF PA 6 Natural
,NSL224082,Industrial,Textile part,NA,NA,,#N/A,#N/A
,NSL224089,Electrical,"Used in Switches and sockets, Protection devises, electrical accessories and lighting.",NA,NA,https://drive.google.com/open?id=1V77P-bYxpJx0yD__-EYnQB0RCV8TIyJf,730C3001F,ZiLITE™ 30% GF FR PBT Black
,NSL224114,Electrical,"Used in Switches and sockets, Protection devises, electrical accessories and lighting.",NONE,NA,https://drive.google.com/open?id=1IhiJZ21JR9wlSL4ylvw-G1Vr7vckmL-c,#N/A,#N/A
,NSL224115,Electrical,"Switches and sockets, Protection devises, electrical accessories and lighting.",none,NA,https://drive.google.com/open?id=1vWSbTOp3HgugZxCesTrEz84WgkZS9rda,#N/A,#N/A
,NSL224116,Automotive,Railway Parts,Calco,711C3003,,#N/A,#N/A
,NSL224117,Automotive,Fast Railway Liner,DSM/Lanxess/Envalior,AKV35,,#N/A,#N/A
,NSL224118,Electrical,MCB BRACKETS,LOXIM,LOXIMAMID PA6 FRV2HF MR25 HS1 GY0307,,710C2383F6,CiLON™ 20% MF + 5% GF FR PA6 Goldmedal Grey
,NSL224119,Electrical,MCB BRACKET,LOXIM,LOXIMAMID PA6 FRV2HF MR25 HS1 GY0309,,#N/A,#N/A
,NSL224120,Electrical,Knob MCB,GSFC,GF3H,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL224122,Electrical,ELECTRICAL CIRCUIT,Sabic,NA,,#N/A,#N/A
,NSL224123,Electrical,ELECTRICAL FAN FLAP,PPCP,PPCP,,#N/A,#N/A
,NSL224113,Automotive,VW Interiors parts ,Sabic,SLIDER,,#N/A,#N/A
,NSL224126,Industrial,Used in Fuel tanks ,NONE,NA,https://drive.google.com/open?id=1CNVQ2ii-0ut995YRS3qCIssz4GQz0XDF,#N/A,#N/A
,NSL224127,Industrial,Used in fuel tanks ,NONE,NA,https://drive.google.com/open?id=18hmM4tkz_Amui4xPrMgpgykwvX-o2NhN,#N/A,#N/A
,NSL224128,Industrial, Used in fuel tanks ,NONE,NA,https://drive.google.com/open?id=1_9b-u3goOF5izZp4OBeDTQ_uvOsW6ReH,720C3034HSHD,"CiLON™ 30% GF PA66 Heat Stabilized, Hydrolysis Resistance Natural"
,NSL224088,Electrical,Electricals cable socket (bridge),Calco,N.A.,,#N/A,#N/A
,NSL224134,Electrical,Battery Case - Luminous,RIL,C080MT,,501C0001,#N/A
,NSL224083,Automotive,bush,DSM/Lanxess/Envalior,DSM,,720C3001F,CiLON™ 30% GF FR PA66 Red Phosphorus
,NSL223821,Multifilament,HDPE Fishing Net ,PLASTIBLENDS INDIA LTD.,POLYCOLOR BLUE 04134,,Reject,#N/A
,NSL223822,HDPE Yarn Extrusion ,Tarpaulin,Armour Polymer ( Local Supplier),NA,,Reject,#N/A
,NSL223823,HDPE Yarn Extrusion,Tarpaulin,Saleha Metal Industries Ltd.,NA,,Reject,#N/A
,NSL223800,Appliance,Washing Taff,Origin Korea,NA,,500C3031,HiLENE™ 30% GF PP Natural
,NSL223801,Appliance,AC Outdoor Gardfan,Origin Korea,NA,,#N/A,#N/A
,NSL223820,Appliance,AC  Inner Body Part,Origin Korea/ Origin China,NA,,900C0092,ABS BLUISH WHITE
,NSL223815,House Hold & Furniture,House Hold Items,Rajib Color,NA,,Reject,#N/A
,NSL223816,House Hold & Furniture,House Hold Items,Rajib Color,NA,,Reject,#N/A
,NSL223817,House Hold & Furniture,House Hold Items,Rajib Color,NA,,Reject,#N/A
,NSL223818,House Hold & Furniture,House Hold Items,Rajib Color,NA,,Reject,#N/A
,NSL223819,House Hold And  Furniture,House Hold Items,Rajib Color,NA,,Reject,#N/A
,NSL224137,Automotive,NA,LEXAN ML7682-GY6C135,NA,,#N/A,#N/A
,NSL224138,Automotive,NA,ZYTEL FR50 BK505,NA,,720C2001F,CiLON™ 25% GF FR PA66 Black
,NSL224139,Automotive,NA,ULTRAMID A 205F,na,,#N/A,#N/A
,NSL224140,Automotive,na,ZYTEL FR50 NC010,na,,720C2032F,#N/A
,NSL224141,Automotive,na,RTP 1005FRA A SL-707364LT,NA,,730C3031F,ZiLITE™ 30% GF FR PBT Natural
,NSL224130,Electrical,MCB COVER,Ascend/Formulated,N.A.,,710C2282F,#N/A
,NSL223770,Electrical,Transformer Bobbins,Domo,TECHNYL 4EARTH C2E 218 V30 BK,https://drive.google.com/open?id=1OLgd8DlAnAB06egx7WQsfQoKm3LL56Cz,710C3001E,CiLON™ 30% GF PA6 Ebony Black
,NSL224142,Industrial,Industrial part /support plate,NA,NA,,750C1001,PiCAN™ 10% GF PC Black
,NSL224146,Industrial,PBTGF30FR Natural - 730C3031F,DSM/Lanxess/Envalior,PBTGF30FR Natural,,730C3031F,ZiLITE™ 30% GF FR PBT Natural
,NSL224147,Automotive,Auto Component,DSM/Lanxess/Envalior,Nylon66GF30Fr Black,,720C3001F,CiLON™ 30% GF FR PA66 Red Phosphorus
,NSL224144,Electrical,Energy Meeter,NEW DEVLOPMENT,NA,,730C3391F,ZiLITE™ 30 % GF FR PBT White
,NSL224145,Automotive,AUTOMOTIVE PART,NA,NA,,#N/A,#N/A
,NSL224151,Automotive,auto parts,Calco,NA,,720C5001,CiLON™ 50% GF PA66 Black
,NSL224143,Automotive,Nylon cage,BASF,Ultramid A3WG5 ,,720C2013,#N/A
,NSL224156,Industrial,Booster pump parts,PI,Pi-Lon 630F Black,https://drive.google.com/open?id=13f38IO9_odvO9a7HfBOQJPw2lwUGq3bB,711C3001M,CiLON™ 30 % GF PA6 Black
,NSL224157,Industrial,Booster pump parts,PI,Pi-Lon 615 Black,,711C1001A,CiLON™ 15% GF PA6 Black
,NSL224159,Textile parts,Textile parts,"UBE, Ravago",1013NW8,,#N/A,#N/A
,NSL224164,Automotive,AUTOMOTIVE PART,Calco,711C0002,,711C0002M,#N/A
,NSL224165,Electrical,MCB Housing,KLJ,PA6 MFGF GREY MCB,,710C2383F2,CiLON™ 20% MF + 5% GF FR PA6 Grey
,NSL224166,Automotive,auto parts,DSM/Lanxess/Envalior,NA,,#N/A,#N/A
,NSL224167,Automotive,rail liner parts,DSM/Lanxess/Envalior,AKV35,,720C3032,CiLON™ 35% GF PA 66 Natural
,NSL224172,Automotive,Cable Channel,DSM/Lanxess/Envalior,Schulamid 6 GF15 H/ Durethan BKV15 H2.0 / Ultramid / Bergamid B70 G15,https://drive.google.com/open?id=1aPcLwVBBkSYTqfAg1JUKF3S-cxexAutY,710C1001HS,CiLON™ 15% GF PA6 Heat Stabilized Black
,NSL224173,Electrical,compontent to be used in busbar trunking system,Ravago,Mablex AG090M,https://drive.google.com/open?id=1G8UJdkFLgoEFM1tNVUsuAtYLqzZ095Dt,760C6031UV,#N/A
